cluster_id,label,domain_tokens,tokens
BGC0000012,Polyketide,PF00067 PF00067 PF00067 PF01565 PF00109 PF02801 PF16197 PF08659 PF14765 PF08242 PF13602 PF08659 PF08659,"['PF00067', 'PF00067', 'PF00067', 'PF01565', 'PF00109', 'PF02801', 'PF16197', 'PF08659', 'PF14765', 'PF08242', 'PF13602', 'PF08659', 'PF08659']"
BGC0000013,Polyketide,PF00550 PF16073 PF02801 PF00109 PF16073 PF00753,"['PF00550', 'PF16073', 'PF02801', 'PF00109', 'PF16073', 'PF00753']"
BGC0000014,Polyketide,PF00158 PF14532 PF00072 PF03466 PF00126 PF00067 PF02518 PF00072 PF00158 PF02954 PF02518 PF00512 PF05762 PF00109 PF16197 PF00109 PF00698 PF00109 PF02801 PF16197 PF00698 PF08659 PF00550 PF00109 PF16197 PF00698 PF14765 PF00106 PF13602 PF08659 PF00550 PF00109 PF16197 PF00109 PF00698 PF14765 PF00698 PF08659 PF00550 PF00109 PF16197 PF00698 PF14765 PF08659 PF00550 PF00109 PF00698 PF14765 PF00109 PF00550 PF00109 PF16197 PF00698 PF08659 PF00109 PF00550 PF00109 PF16197 PF00698 PF14765 PF08659 PF00550 PF00109 PF02801 PF00550 PF00561 PF16197 PF00743 PF00501 PF00550 PF00109 PF02801 PF16197 PF00698 PF00975 PF08659 PF00698 PF00355 PF13738 PF00171 PF04116 PF04116 PF00202 PF08241 PF19447 PF19447 PF00072 PF00512 PF00072 PF02518 PF00512 PF13185 PF00672 PF16703 PF00672 PF00672 PF00672 PF00672 PF00672 PF00672 PF00672 PF00672 PF00672 PF13185 PF01638 PF00724 PF02518 PF08448 PF13185 PF08448 PF00989 PF08448,"['PF00158', 'PF14532', 'PF00072', 'PF03466', 'PF00126', 'PF00067', 'PF02518', 'PF00072', 'PF00158', 'PF02954', 'PF02518', 'PF00512', 'PF05762', 'PF00109', 'PF16197', 'PF00109', 'PF00698', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00698', 'PF14765', 'PF00106', 'PF13602', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00109', 'PF00698', 'PF14765', 'PF00698', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00698', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF00698', 'PF14765', 'PF00109', 'PF00550', 'PF00109', 'PF16197', 'PF00698', 'PF08659', 'PF00109', 'PF00550', 'PF00109', 'PF16197', 'PF00698', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF00550', 'PF00561', 'PF16197', 'PF00743', 'PF00501', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF00975', 'PF08659', 'PF00698', 'PF00355', 'PF13738', 'PF00171', 'PF04116', 'PF04116', 'PF00202', 'PF08241', 'PF19447', 'PF19447', 'PF00072', 'PF00512', 'PF00072', 'PF02518', 'PF00512', 'PF13185', 'PF00672', 'PF16703', 'PF00672', 'PF00672', 'PF00672', 'PF00672', 'PF00672', 'PF00672', 'PF00672', 'PF00672', 'PF00672', 'PF13185', 'PF01638', 'PF00724', 'PF02518', 'PF08448', 'PF13185', 'PF08448', 'PF00989', 'PF08448']"
BGC0000016,Other,PF00975 PF13191 PF00324,"['PF00975', 'PF13191', 'PF00324']"
BGC0000017,Polyketide,PF13924 PF00975 PF02771 PF02770 PF00441 PF00501 PF13193 PF00109 PF02801 PF16197 PF00109 PF16197 PF14765 PF00550 PF00698 PF13602 PF08659 PF00550 PF00109 PF16197 PF00109 PF16197 PF14765 PF08659 PF00550 PF00109 PF16197 PF00109 PF16197 PF13489 PF08242 PF00550 PF14104 PF00069 PF00300,"['PF13924', 'PF00975', 'PF02771', 'PF02770', 'PF00441', 'PF00501', 'PF13193', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF16197', 'PF14765', 'PF00550', 'PF00698', 'PF13602', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00109', 'PF16197', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00109', 'PF16197', 'PF13489', 'PF08242', 'PF00550', 'PF14104', 'PF00069', 'PF00300']"
BGC0000018,Polyketide,PF00109 PF02801 PF16197 PF00109 PF00106 PF00550 PF00109 PF02801 PF16197 PF00109 PF00106 PF08659 PF00550 PF00109 PF16197 PF00109 PF00698 PF14765 PF08659 PF00550 PF00109 PF16197 PF00698 PF00109 PF08659 PF00550 PF00109 PF02801 PF16197 PF00109 PF00106 PF08659 PF00109 PF00550 PF00109 PF16197 PF00109 PF08659 PF14765 PF13602 PF08659 PF00698 PF00109 PF02801 PF16197 PF00109 PF02801 PF08659 PF00550 PF00109 PF02801 PF16197 PF00109 PF02801 PF08659 PF00975 PF08659,"['PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF00106', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF00106', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00109', 'PF00698', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF16197', 'PF00698', 'PF00109', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF00106', 'PF08659', 'PF00109', 'PF00550', 'PF00109', 'PF16197', 'PF00109', 'PF08659', 'PF14765', 'PF13602', 'PF08659', 'PF00698', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF02801', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00109', 'PF02801', 'PF08659', 'PF00975', 'PF08659']"
BGC0000019,Polyketide,PF06722 PF13649 PF00107 PF17853 PF17853 PF17853 PF13556 PF13546 PF01370 PF00248 PF08484 PF13489 PF08421 PF00201 PF00908 PF00005 PF00005,"['PF06722', 'PF13649', 'PF00107', 'PF17853', 'PF17853', 'PF17853', 'PF13556', 'PF13546', 'PF01370', 'PF00248', 'PF08484', 'PF13489', 'PF08421', 'PF00201', 'PF00908', 'PF00005', 'PF00005']"
BGC0000020,Polyketide,PF16173 PF16116 PF07690 PF17940 PF01872 PF00140 PF04542 PF04539 PF04545 PF00667 PF00258 PF00067 PF00440 PF14325 PF00106 PF00201 PF00550 PF08659 PF00698 PF16197 PF02801 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF02801 PF00109 PF00550 PF08659 PF13602 PF00106 PF14765 PF00109 PF16197 PF02801 PF00109 PF00550 PF08659 PF00109 PF13193 PF00550 PF00698 PF01041 PF01220 PF00480 PF16861 PF02543 PF03795 PF01757 PF03704 PF13191 PF03704 PF01596 PF00441 PF02770 PF02771 PF00725 PF02737 PF04820 PF01494 PF04072 PF00797 PF00550 PF08659 PF14765 PF00698 PF16197 PF00109 PF00698 PF08659 PF14765 PF00698 PF16197 PF00109 PF08659 PF00109 PF16197 PF00109 PF00196 PF00891 PF00999 PF00005 PF17195 PF00440 PF13602,"['PF16173', 'PF16116', 'PF07690', 'PF17940', 'PF01872', 'PF00140', 'PF04542', 'PF04539', 'PF04545', 'PF00667', 'PF00258', 'PF00067', 'PF00440', 'PF14325', 'PF00106', 'PF00201', 'PF00550', 'PF08659', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF13602', 'PF00106', 'PF14765', 'PF00109', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF00109', 'PF13193', 'PF00550', 'PF00698', 'PF01041', 'PF01220', 'PF00480', 'PF16861', 'PF02543', 'PF03795', 'PF01757', 'PF03704', 'PF13191', 'PF03704', 'PF01596', 'PF00441', 'PF02770', 'PF02771', 'PF00725', 'PF02737', 'PF04820', 'PF01494', 'PF04072', 'PF00797', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00698', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF08659', 'PF00109', 'PF16197', 'PF00109', 'PF00196', 'PF00891', 'PF00999', 'PF00005', 'PF17195', 'PF00440', 'PF13602']"
BGC0000021,Polyketide,PF03403 PF01370 PF06722 PF01370 PF08484 PF13489 PF08421 PF01408 PF03559 PF00848 PF00355 PF00866 PF00355 PF08241 PF13649 PF00975 PF03704 PF00931 PF03704 PF03704 PF03704 PF05050 PF01596 PF00441 PF02771 PF00725 PF02737 PF08659 PF14765 PF00698 PF16197 PF02801 PF00109 PF03704 PF01408 PF05199 PF00067 PF00698 PF16197 PF00550 PF08659 PF14765 PF00698 PF00109 PF02801 PF00109 PF06722 PF00201 PF00550 PF08659 PF01370 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF00109 PF00550 PF00109 PF08659 PF18369 PF00106 PF00109 PF16197 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF02801 PF00109 PF00550 PF08659 PF14765 PF08659 PF13602 PF00109 PF16197 PF00109 PF00550 PF08659 PF13602 PF00106 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF00698 PF16197 PF02801 PF00109 PF00550 PF08659 PF18369 PF08659 PF18369 PF00698 PF00109 PF00550 PF08659 PF14765 PF08659 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF02801 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF00109 PF00550 PF08659 PF18369 PF00698 PF16197 PF02801 PF00109 PF05711 PF13424 PF00515 PF03704 PF13424 PF03704 PF03704 PF03704,"['PF03403', 'PF01370', 'PF06722', 'PF01370', 'PF08484', 'PF13489', 'PF08421', 'PF01408', 'PF03559', 'PF00848', 'PF00355', 'PF00866', 'PF00355', 'PF08241', 'PF13649', 'PF00975', 'PF03704', 'PF00931', 'PF03704', 'PF03704', 'PF03704', 'PF05050', 'PF01596', 'PF00441', 'PF02771', 'PF00725', 'PF02737', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF03704', 'PF01408', 'PF05199', 'PF00067', 'PF00698', 'PF16197', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF00109', 'PF02801', 'PF00109', 'PF06722', 'PF00201', 'PF00550', 'PF08659', 'PF01370', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF00109', 'PF08659', 'PF18369', 'PF00106', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF08659', 'PF13602', 'PF00109', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF13602', 'PF00106', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF08659', 'PF18369', 'PF00698', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF08659', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF00109', 'PF00550', 'PF08659', 'PF18369', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF05711', 'PF13424', 'PF00515', 'PF03704', 'PF13424', 'PF03704', 'PF03704', 'PF03704']"
BGC0000022,Polyketide,PF04082 PF07690 PF03959 PF01494 PF00698 PF00109 PF02801 PF00698 PF00550 PF18558 PF08242 PF07993 PF01565 PF08659 PF13602 PF08242 PF14765 PF00109 PF16197 PF08659 PF00109 PF00487,"['PF04082', 'PF07690', 'PF03959', 'PF01494', 'PF00698', 'PF00109', 'PF02801', 'PF00698', 'PF00550', 'PF18558', 'PF08242', 'PF07993', 'PF01565', 'PF08659', 'PF13602', 'PF08242', 'PF14765', 'PF00109', 'PF16197', 'PF08659', 'PF00109', 'PF00487']"
BGC0000023,Polyketide,PF02518 PF00441 PF00501 PF10604 PF00067 PF00067 PF00550 PF14765 PF13561 PF14765 PF08659 PF00109 PF16197 PF02801 PF00109 PF00550 PF08659 PF00109 PF16197 PF02801 PF00109 PF00550 PF08659 PF14765 PF00698 PF16197 PF02801 PF00109 PF00109 PF02801 PF16197 PF00698 PF08659 PF00107 PF08659 PF00550 PF00109 PF02801 PF16197 PF00698 PF14765 PF08659 PF00550 PF00109 PF02801 PF16197 PF00698 PF08659 PF00550 PF00109 PF02801 PF16197 PF00698 PF14765 PF00550 PF00067 PF00550 PF00109 PF02801 PF16197 PF00698 PF16197 PF00698 PF14765 PF08659 PF00107 PF08659 PF00550 PF01494,"['PF02518', 'PF00441', 'PF00501', 'PF10604', 'PF00067', 'PF00067', 'PF00550', 'PF14765', 'PF13561', 'PF14765', 'PF08659', 'PF00109', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF00109', 'PF16197', 'PF02801', 'PF00109', 'PF00550', 'PF08659', 'PF14765', 'PF00698', 'PF16197', 'PF02801', 'PF00109', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF08659', 'PF00107', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF14765', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF08659', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF14765', 'PF00550', 'PF00067', 'PF00550', 'PF00109', 'PF02801', 'PF16197', 'PF00698', 'PF16197', 'PF00698', 'PF14765', 'PF08659', 'PF00107', 'PF08659', 'PF00550', 'PF01494']"
